Vial Long	Lat															
5588	147.073026578324	-38.102600831174															
5592	147.073026578324	-38.102600831174															
5599	147.073026578324	-38.102600831174															
6701	147.073026578324	-38.102600831174															
833	146.134103996708	-38.825602307388															
575	147.440216697109	-38.119450106980															
5654	147.440216697109	-38.119450106980															
5657	147.440216697109	-38.119450106980															
5663	147.440216697109	-38.119450106980															
5680	147.440216697109	-38.119450106980															
6281	147.440216697109	-38.119450106980															
588	147.440216697109	-38.119450106980															
851	147.440216697109	-38.119450106980															
596	147.146769301042	-38.293634499818															
372	147.146769301042	-38.293634499818															
880	147.146769301042	-38.293634499818															
886	147.146769301042	-38.293634499818															
896	147.146769301042	-38.293634499818															
5669	147.146769301042	-38.293634499818															
5671	147.146769301042	-38.293634499818															
580	147.204214495969	-38.266119070317															
5678	147.204214495969	-38.266119070317															
5694	147.204214495969	-38.266119070317															
852	147.204214495969	-38.266119070317															
712	146.544830387614	-38.770391816299															
715	146.544830387614	-38.770391816299															
716	146.544830387614	-38.770391816299															
718	146.544830387614	-38.770391816299															
719	146.544830387614	-38.770391816299															
720	146.544830387614	-38.770391816299															
721	146.544830387614	-38.770391816299															
722	146.544830387614	-38.770391816299															
723	146.544830387614	-38.770391816299															
725	146.544830387614	-38.770391816299															
726	146.544830387614	-38.770391816299															
728	146.544830387614	-38.770391816299															
729	146.544830387614	-38.770391816299															
730	146.544830387614	-38.770391816299															
732	146.544830387614	-38.770391816299															
733	146.544830387614	-38.770391816299															
735	146.544830387614	-38.770391816299															
736	146.544830387614	-38.770391816299															
737	146.544830387614	-38.770391816299															
738	146.544830387614	-38.770391816299															
740	146.544830387614	-38.770391816299															
741	146.544830387614	-38.770391816299															
742	146.544830387614	-38.770391816299															
743	146.544830387614	-38.770391816299															
744	146.544830387614	-38.770391816299															
746	146.544830387614	-38.770391816299															
747	146.544830387614	-38.770391816299															
748	146.544830387614	-38.770391816299															
749	146.544830387614	-38.770391816299															
750	146.544830387614	-38.770391816299															
598	147.056937610644	-38.272024395643															
25	147.083333005613	-37.966667017930															
26	147.083333005613	-37.966667017930															
29	147.083333005613	-37.966667017930															
37	147.083333005613	-37.966667017930															
38	147.083333005613	-37.966667017930															
39	147.083333005613	-37.966667017930															
375	147.083333005613	-37.966667017930															
377	147.083333005613	-37.966667017930															
379	147.083333005613	-37.966667017930															
384	147.083333005613	-37.966667017930															
386	147.083333005613	-37.966667017930															
396	147.083333005613	-37.966667017930															
397	147.083333005613	-37.966667017930															
915	147.083333005613	-37.966667017930															
926	147.083333005613	-37.966667017930															
901	147.083333005613	-37.966667017930															
5597	147.083333005613	-37.966667017930															
5676	147.083333005613	-37.966667017930															
6283	147.083333005613	-37.966667017930															
262	146.623333098281	-38.711682516011															
265	146.623333098281	-38.711682516011															
280	146.623333098281	-38.711682516011															
285	146.623333098281	-38.711682516011															
294	146.623333098281	-38.711682516011															
295	146.623333098281	-38.711682516011															
298	146.623333098281	-38.711682516011															
299	146.623333098281	-38.711682516011															
328	146.623333098281	-38.711682516011															
401	146.623333098281	-38.711682516011															
402	146.623333098281	-38.711682516011															
405	146.623333098281	-38.711682516011															
408	146.623333098281	-38.711682516011															
411	146.623333098281	-38.711682516011															
418	146.623333098281	-38.711682516011															
425	146.623333098281	-38.711682516011															
428	146.623333098281	-38.711682516011															
431	146.623333098281	-38.711682516011															
433	146.623333098281	-38.711682516011															
434	146.623333098281	-38.711682516011															
437	146.623333098281	-38.711682516011															
438	146.623333098281	-38.711682516011															
440	146.623333098281	-38.711682516011															
442	146.623333098281	-38.711682516011															
2695	146.623333098281	-38.711682516011															
2714	146.623333098281	-38.711682516011															
2807	146.623333098281	-38.711682516011															
270608	146.623333098281	-38.711682516011															
H201475 	146.623333098281	-38.711682516011															
H270308 	146.623333098281	-38.711682516011															
H276708 	146.623333098281	-38.711682516011															
H281808 	146.623333098281	-38.711682516011															
101	146.720498507918	-38.628047389054															
123	146.720498507918	-38.628047389054															
129	146.720498507918	-38.628047389054															
604	146.720498507918	-38.628047389054															
609	146.720498507918	-38.628047389054															
615	146.720498507918	-38.628047389054															
621	146.720498507918	-38.628047389054															
632	146.720498507918	-38.628047389054															
815	146.720498507918	-38.628047389054															
819	146.720498507918	-38.628047389054															
826	146.720498507918	-38.628047389054															
105	145.908715491427	-38.737790102389															
5579	147.627614205484	-37.971572400390															
830	146.433332993613	-38.666666990762															
5703	146.433332993613	-38.666666990762															
5704	146.433332993613	-38.666666990762															
6	146.368226827034	-38.958855858148															
7	146.368226827034	-38.958855858148															
9	146.368226827034	-38.958855858148															
10	146.368226827034	-38.958855858148															
132	146.368226827034	-38.958855858148															
133	146.368226827034	-38.958855858148															
136	146.368226827034	-38.958855858148															
137	146.368226827034	-38.958855858148															
138	146.368226827034	-38.958855858148															
139	146.368226827034	-38.958855858148															
